Rodada,Time Mandante,Time Visitante,Gols Mandante,Gols Visitante,Estádio,Horário
Regular Season - 1,Internacional,Bahia,2,1,Estádio José Pinheiro Borda,2024-04-13T21:30:00+00:00
Regular Season - 1,Cruzeiro,Botafogo,3,2,Estádio Governador Magalhães Pinto,2024-04-14T20:00:00+00:00
Regular Season - 1,Vitoria,Palmeiras,0,1,Estádio Manoel Barradas,2024-04-14T21:30:00+00:00
Regular Season - 1,Fluminense,RB Bragantino,2,2,Estadio Jornalista Mário Filho,2024-04-14T00:00:00+00:00
Regular Season - 1,Vasco DA Gama,Gremio,2,1,Estádio São Januário,2024-04-14T19:00:00+00:00
Regular Season - 1,Corinthians,Atletico-MG,0,0,Neo Química Arena,2024-04-14T19:00:00+00:00
Regular Season - 1,Sao Paulo,Fortaleza EC,1,2,MorumBIS,2024-04-14T00:00:00+00:00
Regular Season - 1,Atletico Paranaense,Cuiaba,4,0,Ligga Arena,2024-04-14T19:00:00+00:00
Regular Season - 1,Atletico Goianiense,Flamengo,1,2,Estádio do Governo do Estado de Goiás,2024-04-14T19:00:00+00:00
Regular Season - 1,Criciuma,Juventude,1,1,Estádio Heriberto Hülse,2024-04-13T21:30:00+00:00
Regular Season - 2,Gremio,Atletico Paranaense,2,0,Arena do Grêmio,2024-04-18T22:00:00+00:00
Regular Season - 2,Atletico-MG,Criciuma,1,1,Arena MRV,2024-04-17T23:00:00+00:00
Regular Season - 2,Bahia,Fluminense,2,1,Arena Fonte Nova,2024-04-17T00:30:00+00:00
Regular Season - 2,Flamengo,Sao Paulo,2,1,Estadio Jornalista Mário Filho,2024-04-18T00:30:00+00:00
Regular Season - 2,Botafogo,Atletico Goianiense,1,0,Estádio Nilton Santos,2024-04-19T00:30:00+00:00
Regular Season - 2,Palmeiras,Internacional,0,1,Arena Barueri,2024-04-17T23:00:00+00:00
Regular Season - 2,RB Bragantino,Vasco DA Gama,2,1,Estádio Nabi Abi Chedid,2024-04-18T22:00:00+00:00
Regular Season - 2,Fortaleza EC,Cruzeiro,1,1,Estádio Governador Plácido Aderaldo Castelo,2024-04-17T23:00:00+00:00
Regular Season - 2,Cuiaba,Vitoria,0,0,Arena Pantanal,2024-06-05T23:00:00+00:00
Regular Season - 2,Juventude,Corinthians,2,0,Estádio Alfredo Jaconi,2024-04-17T23:00:00+00:00
Regular Season - 3,Gremio,Cuiaba,1,0,Arena do Grêmio,2024-04-20T21:30:00+00:00
Regular Season - 3,Atletico-MG,Cruzeiro,3,0,Arena MRV,2024-04-21T00:00:00+00:00
Regular Season - 3,Vitoria,Bahia,2,2,Estádio Manoel Barradas,2024-04-21T19:00:00+00:00
Regular Season - 3,Fluminense,Vasco DA Gama,2,1,Estadio Jornalista Mário Filho,2024-04-20T19:00:00+00:00
Regular Season - 3,Botafogo,Juventude,5,1,Estádio Nilton Santos,2024-04-21T21:30:00+00:00
Regular Season - 3,Palmeiras,Flamengo,0,0,Allianz Parque,2024-04-21T19:00:00+00:00
Regular Season - 3,RB Bragantino,Corinthians,1,0,Estádio Nabi Abi Chedid,2024-04-20T21:30:00+00:00
Regular Season - 3,Atletico Paranaense,Internacional,1,0,Ligga Arena,2024-04-21T19:00:00+00:00
Regular Season - 3,Atletico Goianiense,Sao Paulo,0,3,Estádio Antônio Accioly,2024-04-21T21:30:00+00:00
Regular Season - 3,Criciuma,Fortaleza EC,1,1,Estádio Heriberto Hülse,2024-07-24T22:00:00+00:00
Regular Season - 4,Internacional,Atletico Goianiense,1,1,Estádio José Pinheiro Borda,2024-04-28T23:00:00+00:00
Regular Season - 4,Cruzeiro,Vitoria,3,1,Estádio Governador Magalhães Pinto,2024-04-28T19:00:00+00:00
Regular Season - 4,Bahia,Gremio,1,0,Arena Fonte Nova,2024-04-28T00:00:00+00:00
Regular Season - 4,Flamengo,Botafogo,0,2,Estadio Jornalista Mário Filho,2024-04-28T14:00:00+00:00
Regular Season - 4,Vasco DA Gama,Criciuma,0,4,Estádio São Januário,2024-04-27T19:00:00+00:00
Regular Season - 4,Corinthians,Fluminense,3,0,Neo Química Arena,2024-04-28T19:00:00+00:00
Regular Season - 4,Sao Paulo,Palmeiras,0,0,MorumBIS,2024-04-29T23:00:00+00:00
Regular Season - 4,Fortaleza EC,RB Bragantino,1,1,Estádio Governador Plácido Aderaldo Castelo,2024-04-28T21:30:00+00:00
Regular Season - 4,Cuiaba,Atletico-MG,0,3,Arena Pantanal,2024-04-27T21:30:00+00:00
Regular Season - 4,Juventude,Atletico Paranaense,1,1,Estádio Alfredo Jaconi,2024-04-28T21:30:00+00:00
Regular Season - 5,Gremio,Criciuma,,,Arena do Grêmio,2024-05-05T19:00:00+00:00
Regular Season - 5,Cruzeiro,Internacional,,,Estádio Governador Magalhães Pinto,2024-05-05T00:00:00+00:00
Regular Season - 5,Vitoria,Sao Paulo,1,3,Estádio Manoel Barradas,2024-05-05T19:00:00+00:00
Regular Season - 5,Fluminense,Atletico-MG,2,2,Estádio Kleber José de Andrade,2024-05-04T19:00:00+00:00
Regular Season - 5,Botafogo,Bahia,1,2,Estádio Nilton Santos,2024-05-05T21:30:00+00:00
Regular Season - 5,Corinthians,Fortaleza EC,0,0,Neo Química Arena,2024-05-05T00:00:00+00:00
Regular Season - 5,RB Bragantino,Flamengo,1,1,Estádio Nabi Abi Chedid,2024-05-04T21:30:00+00:00
Regular Season - 5,Atletico Paranaense,Vasco DA Gama,1,0,Ligga Arena,2024-05-05T19:00:00+00:00
Regular Season - 5,Cuiaba,Palmeiras,0,2,Arena Pantanal,2024-05-05T21:30:00+00:00
Regular Season - 5,Juventude,Atletico Goianiense,1,0,Estádio Alfredo Jaconi,2024-06-05T22:00:00+00:00
Regular Season - 6,Internacional,Juventude,,,Estádio José Pinheiro Borda,2024-05-14T00:00:00+00:00
Regular Season - 6,Atletico-MG,Gremio,,,Arena MRV,2024-05-12T00:00:00+00:00
Regular Season - 6,Bahia,RB Bragantino,1,0,Arena Fonte Nova,2024-05-12T21:30:00+00:00
Regular Season - 6,Flamengo,Corinthians,2,0,Estadio Jornalista Mário Filho,2024-05-11T19:00:00+00:00
Regular Season - 6,Vasco DA Gama,Vitoria,2,1,Estádio São Januário,2024-05-12T21:30:00+00:00
Regular Season - 6,Palmeiras,Atletico Paranaense,0,2,Arena Barueri,2024-05-12T19:00:00+00:00
Regular Season - 6,Sao Paulo,Fluminense,2,1,MorumBIS,2024-05-13T23:00:00+00:00
Regular Season - 6,Fortaleza EC,Botafogo,1,1,Estádio Governador Plácido Aderaldo Castelo,2024-05-12T19:00:00+00:00
